資料名,編著者,標記年/刊行年,作成機関/出版者,大きさ,備考,五十年史番号,目録番号,区分1,区分2,画像注記,区分3,正副,内容注記,iiif viewer,ID,ウェブサイトURL,アイテムURL,利用条件,サムネイル,機械可読ドキュメント,帰属,viewingDirection,viewingHint,コレクション,ソート用項目,西暦,IIIFマニフェストURI,IIIF Search API URI,アノテーション付きIIIFマニフェストURI,Link to TAPAS Project,Text with Rich Text Format,# of media
dcterms:title,dcterms:creator,dcterms:date,dcterms:publisher,dcterms:extent,archiveshub:note,fnenshi:fnenshiNumber,fnenshi:catalogNumber,fnenshi:categoy1,fnenshi:categoy2,fnenshi:imageNote,fnenshi:categoy3,fnenshi:duplicate,fnenshi:contentNote,iiif viewer,bibo:identifier,dcterms:isPartOf,dcterms:relation,dcterms:rights,foaf:thumbnail,rdfs:seeAlso,sc:attributionLabel,sc:viewingDirection,sc:viewingHint,uterms:databaseLabel,uterms:sort,uterms:year,uterms:manifestUri,uterms:searchApiUri,uterms:annotedManifest,uterms:linkToTapas,uterms:rtf,31437
文部省伺  明治十三年中,,明治13年1月~明治13年12月 (1880~1880),東京大学医学部,268×193,重要文化財,171-1,279,I史料,1.東京大学関係,,1-2 東京大学時代(明治10年~明治19年),副本,医学部関係書類,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/58a217f4-79e3-6741-05e4-998f76043df2.json,58a217f4-79e3-6741-05e4-998f76043df2,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi/document/58a217f4-79e3-6741-05e4-998f76043df2,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/0def5c2b9c12d28c115504dc0a1fdfe7206afba6.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/482170,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,五十年史史料,318,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/58a217f4-79e3-6741-05e4-998f76043df2/manifest,,,,,68
文部省伺  明治十四年一月ヨリ六月マテ,,明治14年1月~明治14年6月 (1881~1881),東京大学医学部,268×193,重要文化財,171-2,280,I史料,1.東京大学関係,,1-2 東京大学時代(明治10年~明治19年),副本,医学部関係書類,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/23375d80-533d-5321-3f9a-4e9f74ca1882.json,23375d80-533d-5321-3f9a-4e9f74ca1882,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi/document/23375d80-533d-5321-3f9a-4e9f74ca1882,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/98be69c3a93dc60c42d2f1f1ae171e1ec3fdbb4d.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/482171,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,五十年史史料,319,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/23375d80-533d-5321-3f9a-4e9f74ca1882/manifest,,,,,80
達県合留  明治二年巳七月ヨリ十二月,,明治2年7月~明治2年12月 (1869~1869),大学南校,258×182,重要文化財,172,10,I史料,1.東京大学関係,,1-1 東京大学前史,副本,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/a168ce7e-5d04-93ce-3c30-742e29ec6bcb.json,a168ce7e-5d04-93ce-3c30-742e29ec6bcb,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi/document/a168ce7e-5d04-93ce-3c30-742e29ec6bcb,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/0910686737f52ada1159a60304c1b3284d5a460a.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/482172,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,五十年史史料,320,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/a168ce7e-5d04-93ce-3c30-742e29ec6bcb/manifest,,,,,274
司法省学校関係書類  自明治五壬申年至十五年,,明治5年5月~明治15年10月 (1872~1882),,264×186,重要文化財,173,308,I史料,2.包摂校関係,,2-2 司法省法学校,正本,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/9dc9bd14-8833-1fee-7f3f-d06d9ef09797.json,9dc9bd14-8833-1fee-7f3f-d06d9ef09797,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi/document/9dc9bd14-8833-1fee-7f3f-d06d9ef09797,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/3e9490b595d947e2e661613c34725d715dc39b93.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/482173,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,五十年史史料,321,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/9dc9bd14-8833-1fee-7f3f-d06d9ef09797/manifest,,,,,184
駒場農学校東京農学校規則  [明治十三年~二十八年],,明治13年6月~明治28年4月 (1880~1895),帝国大学,233×163,重要文化財,174,305,I史料,2.包摂校関係,,2-1 工部省工学寮、農商務省駒場農学校,副本,(識語)「(前略) 明治二十八年四月書記」,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/9f21d762-16a3-16f8-5e72-ac70ce9b0d80.json,9f21d762-16a3-16f8-5e72-ac70ce9b0d80,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi/document/9f21d762-16a3-16f8-5e72-ac70ce9b0d80,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/7774c4e3208974fd09381de839bd59de816fb6bb.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/482174,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,五十年史史料,322,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/9f21d762-16a3-16f8-5e72-ac70ce9b0d80/manifest,,,,,223
庚午往復[明治三年],,明治2年12月~明治3年1月 (1869~1870),大学東校,256×188,重要文化財,175,112,I史料,1.東京大学関係,,1-1 東京大学前史,副本,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/d1480f85-1bad-a27f-8eb0-789e56a2418d.json,d1480f85-1bad-a27f-8eb0-789e56a2418d,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi/document/d1480f85-1bad-a27f-8eb0-789e56a2418d,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/3d8f3b3d8be84d0994e85e4a948474ffae43e072.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/482175,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,五十年史史料,323,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/d1480f85-1bad-a27f-8eb0-789e56a2418d/manifest,,,,,40
諸達掛合留  明治二年九月ヨリ同十二月迄,,明治2年9月~明治2年12月 (1869~1869),医学校,268×190,重要文化財,176,101,I史料,1.東京大学関係,,1-1 東京大学前史,副本,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/a43d7f5b-2891-6b85-37b2-4b1d32531d38.json,a43d7f5b-2891-6b85-37b2-4b1d32531d38,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi/document/a43d7f5b-2891-6b85-37b2-4b1d32531d38,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/235024c632bb49181516ee5083ded6914ecf3783.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/482176,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,五十年史史料,324,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/a43d7f5b-2891-6b85-37b2-4b1d32531d38/manifest,,,,,233
諸達掛合  明治三年正月,,明治2年12月~明治3年3月 (1869~1870),大学東校,266×188,重要文化財,177,113,I史料,1.東京大学関係,,1-1 東京大学前史,副本,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/8587707e-2c61-6e21-987f-345265ab324b.json,8587707e-2c61-6e21-987f-345265ab324b,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi/document/8587707e-2c61-6e21-987f-345265ab324b,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/da6166650b90e3428758307ab2ac0ba5f5c5018b.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/482177,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,五十年史史料,325,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/8587707e-2c61-6e21-987f-345265ab324b/manifest,,,,,113
試業答書  明治十三年,,明治13年6月~明治13年6月 (1880~1880),東京大学,271×196,重要文化財,178,240,I史料,1.東京大学関係,画像なし,1-2 東京大学時代(明治10年~明治19年),正本,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/89ec6dfd-8269-2bd8-215a-c94b227e7ca8.json,89ec6dfd-8269-2bd8-215a-c94b227e7ca8,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi/document/89ec6dfd-8269-2bd8-215a-c94b227e7ca8,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/482178,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,五十年史史料,326,,,,,,,0
第一年第一期大試験教官[関係書類]  明治十年,,明治9年9月~明治10年2月 (1876~1877),,285×202,重要文化財,179,312,I史料,2.包摂校関係,,2-2 司法省法学校,正本,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/ac55db51-3868-093c-1e84-375eca4f352c.json,ac55db51-3868-093c-1e84-375eca4f352c,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi/document/ac55db51-3868-093c-1e84-375eca4f352c,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/a1015345b6b074eaeb290bede621c7fdf86e3d3e.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/482179,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,五十年史史料,327,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/ac55db51-3868-093c-1e84-375eca4f352c/manifest,,,,,53
証書編冊  明治六年三月ヨリ十年十一月マテ,,明治6年3月~明治10年11月 (1873~1877),東京大学医学部,268×194,重要文化財,180,141,I史料,1.東京大学関係,館内閲覧限定,1-1 東京大学前史,副本,医学部関係書類,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/7d40f4c3-3e33-075e-4c49-b2b71f6f4347.json,7d40f4c3-3e33-075e-4c49-b2b71f6f4347,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi/document/7d40f4c3-3e33-075e-4c49-b2b71f6f4347,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/482180,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,五十年史史料,328,,,,,,,0
御触留  明治元年十月ヨリ同二年七月マテ,,明治元年10月~明治2年7月 (1868~1869),,268×190,重要文化財,182,294,I史料,1.東京大学関係,,1-3 その他(主に明治19年以降のもの),副本,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/0062eb14-250f-1f6f-1b36-215e71117d47.json,0062eb14-250f-1f6f-1b36-215e71117d47,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi/document/0062eb14-250f-1f6f-1b36-215e71117d47,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/1cd9fb0e05ba58a4a4a01243d094312a702fa359.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/482181,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,五十年史史料,330,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/0062eb14-250f-1f6f-1b36-215e71117d47/manifest,,,,,131
布告留  巻之三  明治元年十月ヨリ十二月迄,,明治元年10月~明治元年12月 (1868~1868),開成学校,258×183,重要文化財,183-1,6,I史料,1.東京大学関係,,1-1 東京大学前史,副本,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/8bb48086-064c-8e2b-7997-f90b2fc68e2c.json,8bb48086-064c-8e2b-7997-f90b2fc68e2c,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi/document/8bb48086-064c-8e2b-7997-f90b2fc68e2c,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/d7ba89ce1f6c7f055b148d707cc85d15a45b2a2d.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/482182,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,五十年史史料,331,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/8bb48086-064c-8e2b-7997-f90b2fc68e2c/manifest,,,,,43
布告留  巻之七  明治二年巳年正月ヨリ六月迄,,明治2年正月~明治2年6月 (1869~1869),開成学校,258×183,重要文化財,183-2,7,I史料,1.東京大学関係,,1-1 東京大学前史,副本,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/0190a521-14f3-81f7-9dc9-7e90ed3e9ecb.json,0190a521-14f3-81f7-9dc9-7e90ed3e9ecb,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi/document/0190a521-14f3-81f7-9dc9-7e90ed3e9ecb,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/b1ece47230fe6280b58b4e57487297b683a5d8f8.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/482183,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,五十年史史料,332,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/0190a521-14f3-81f7-9dc9-7e90ed3e9ecb/manifest,,,,,299
検印済  明治四年十二月ヨリ同五年十一月マテ,,明治4年12月~明治5年11月 (1871~1872),第一大学区医学校,267×190,重要文化財,184,121,I史料,1.東京大学関係,,1-1 東京大学前史,副本,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/cbfcb8b6-7345-8ee6-39a5-5a734439842d.json,cbfcb8b6-7345-8ee6-39a5-5a734439842d,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi/document/cbfcb8b6-7345-8ee6-39a5-5a734439842d,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/3e5de9793eefcc34be5f8a83b4a25dfbea119c63.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/482184,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,五十年史史料,333,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/cbfcb8b6-7345-8ee6-39a5-5a734439842d/manifest,,,,,113
本省検印済  明治七年五月ヨリ同九年八月マテ,,明治7年5月~明治9年8月 (1874~1876),東京医学校,269×193,重要文化財,185,168,I史料,1.東京大学関係,,1-1 東京大学前史,副本,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/39ef671f-4259-3a2f-3401-689039521af6.json,39ef671f-4259-3a2f-3401-689039521af6,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi/document/39ef671f-4259-3a2f-3401-689039521af6,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/2eef891f3eca4ce90d1179d00e9b904d852a32e7.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/482185,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,五十年史史料,334,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/39ef671f-4259-3a2f-3401-689039521af6/manifest,,,,,19
本省達  明治六年一月ヨリ同五月ニ至ル,,明治6年1月~明治6年5月 (1873~1873),第一大学区医学校,268×195,重要文化財,186-1,142,I史料,1.東京大学関係,,1-1 東京大学前史,副本,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/e95b47b3-1e8d-7ccd-882f-189ae7571ae8.json,e95b47b3-1e8d-7ccd-882f-189ae7571ae8,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi/document/e95b47b3-1e8d-7ccd-882f-189ae7571ae8,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/6d665995cee33e810f6880898ad7eb4514c7b909.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/482186,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,五十年史史料,335,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/e95b47b3-1e8d-7ccd-882f-189ae7571ae8/manifest,,,,,322
本省達  明治十一年中,,明治11年1月~明治11年12月 (1878~1878),東京大学医学部,268×195,重要文化財,186-2,143,I史料,1.東京大学関係,,1-1 東京大学前史,副本,医学部関係書類,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/c78e6dc8-7384-303b-4faf-10202a7674c2.json,c78e6dc8-7384-303b-4faf-10202a7674c2,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi/document/c78e6dc8-7384-303b-4faf-10202a7674c2,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/294368503cd8fd0d0bb9f426bab9142a8fcaec2d.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/482187,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,五十年史史料,336,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c78e6dc8-7384-303b-4faf-10202a7674c2/manifest,,,,,62
本省達  明治十二年中,,明治12年1月~明治12年9月 (1879~1879),東京大学医学部,268×195,重要文化財,186-3,144,I史料,1.東京大学関係,,1-1 東京大学前史,副本,医学部関係書類,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/731f8697-9857-9f90-8adf-ebde822f5b1a.json,731f8697-9857-9f90-8adf-ebde822f5b1a,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi/document/731f8697-9857-9f90-8adf-ebde822f5b1a,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/270daf8512510f01975d0568c2fdacfdb4ea73b6.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/482188,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,五十年史史料,337,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/731f8697-9857-9f90-8adf-ebde822f5b1a/manifest,,,,,27
文部省達  明治十三年中,,明治13年1月~明治13年12月 (1880~1880),,269×193,重要文化財,187-1,289,I史料,1.東京大学関係,,1-2 東京大学時代(明治10年~明治19年),副本,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/45ec52fc-4a7e-0f27-0fef-29995cf15295.json,45ec52fc-4a7e-0f27-0fef-29995cf15295,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi/document/45ec52fc-4a7e-0f27-0fef-29995cf15295,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/0edb74a474d5fce74b117b2e081b6b2a0e9abd53.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/482189,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,五十年史史料,338,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/45ec52fc-4a7e-0f27-0fef-29995cf15295/manifest,,,,,77
文部省達  明治十三年分,,明治13年1月~明治13年12月 (1880~1880),,269×193,重要文化財,187-2,290,I史料,1.東京大学関係,,1-2 東京大学時代(明治10年~明治19年),副本,医学部関係書類,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/5bd3442f-6fcd-37c0-5862-ddb8ae0d489e.json,5bd3442f-6fcd-37c0-5862-ddb8ae0d489e,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi/document/5bd3442f-6fcd-37c0-5862-ddb8ae0d489e,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/2655dd430b2dcb90e096db019aacac77369ad6a3.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/482190,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,五十年史史料,339,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/5bd3442f-6fcd-37c0-5862-ddb8ae0d489e/manifest,,,,,124
文部省往復  明治十年分,,明治10年1月~明治10年3月 (1877~1877),東京大学,265×189,重要文化財,188-1,287,I史料,1.東京大学関係,,1-2 東京大学時代(明治10年~明治19年),副本,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/56f02117-369e-5a33-54d2-e10478152366.json,56f02117-369e-5a33-54d2-e10478152366,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi/document/56f02117-369e-5a33-54d2-e10478152366,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/721f878d9fd77deeb226dfc4185e93cc834b909b.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/482191,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,五十年史史料,340,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/56f02117-369e-5a33-54d2-e10478152366/manifest,,,,,131
文部省往復  明治十三年分,,明治13年1月~明治13年9月 (1880~1880),東京大学,265×189,重要文化財,188-2,288,I史料,1.東京大学関係,,1-2 東京大学時代(明治10年~明治19年),副本,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/f32cd4de-2b6c-76dd-59e2-d98318eea33e.json,f32cd4de-2b6c-76dd-59e2-d98318eea33e,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi/document/f32cd4de-2b6c-76dd-59e2-d98318eea33e,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/9131b73f8255ace7a01d15c6dd639f075ed8780c.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/482192,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,五十年史史料,341,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/f32cd4de-2b6c-76dd-59e2-d98318eea33e/manifest,,,,,167
