タイトル	タイトル	タイトルよみ	請求番号	和暦	地域	題種・題名	題種・題名よみ	作者名	作者名よみ	書誌備考	刊写	体裁	親書誌	大分類	中分類	小分類	月	日	西暦	月日	刊記	板元	元号	劇場	内題下	演奏者	統一劇場	刊年	興行人	内題下よみ	iiif viewer	ID	ウェブサイトURL	アイテムURL	利用条件	サムネイル	機械可読ドキュメント	帰属	viewingDirection	viewingHint	コレクション	ソート用項目	IIIFマニフェストURI	IIIF Search API URI	アノテーション付きIIIFマニフェストURI	Link to TAPAS Project	Text with Rich Text Format	# of media
月見酒 (内題)		つきみざけ	黒4141-0002.2-013								刊	半紙本。1冊合。7丁。6行	宇治文庫 地	音曲	一中節	段物集	00	00													http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/e212a4b5-8614-470c-a3b0-487b0b7803f2.json	e212a4b5-8614-470c-a3b0-487b0b7803f2	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki/document/e212a4b5-8614-470c-a3b0-487b0b7803f2	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/6ef9e2db53a00912b39e9f86f235ec75dd9c2398.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/280233	東京大学大学院総合文化研究科・教養学部 Graduate School of Arts and Sciences / College of Arts and Sciences, The University of Tokyo, JAPAN				2804	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/e212a4b5-8614-470c-a3b0-487b0b7803f2/manifest					8
<花屋お冬/舟屋儀助>此頃草 (内題)		<はなやおふゆ/ふなやぎすけ>このごろぐさ	黒4141-0002.2-014								刊	半紙本。1冊合。4丁。6行	宇治文庫 地	音曲	一中節	段物集	00	00													http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/b276f2c9-d71b-47a6-af70-56522b33e8d8.json	b276f2c9-d71b-47a6-af70-56522b33e8d8	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki/document/b276f2c9-d71b-47a6-af70-56522b33e8d8	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/ab078ee978c2c76fe83d279f96ff393e316165af.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/280234	東京大学大学院総合文化研究科・教養学部 Graduate School of Arts and Sciences / College of Arts and Sciences, The University of Tokyo, JAPAN				2805	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/b276f2c9-d71b-47a6-af70-56522b33e8d8/manifest					5
山伏接待 (内題)		やまぶしせったい	黒4141-0002.2-015								刊	半紙本。1冊合。12丁。6行	宇治文庫 地	音曲	一中節	段物集	00	00													http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/367bc2c4-ef55-47e6-a99b-438762f16db0.json	367bc2c4-ef55-47e6-a99b-438762f16db0	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki/document/367bc2c4-ef55-47e6-a99b-438762f16db0	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/ed3a30cbb89006ee9be9a868829bcd1ab086ce40.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/280235	東京大学大学院総合文化研究科・教養学部 Graduate School of Arts and Sciences / College of Arts and Sciences, The University of Tokyo, JAPAN				2806	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/367bc2c4-ef55-47e6-a99b-438762f16db0/manifest					13
花子 (内題)		はなご	黒4141-0002.2-016								刊	半紙本。1冊合。13丁。6行	宇治文庫 地	音曲	一中節	段物集	00	00													http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/c0d9cbc6-c4ad-4617-8003-fab527b307c2.json	c0d9cbc6-c4ad-4617-8003-fab527b307c2	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki/document/c0d9cbc6-c4ad-4617-8003-fab527b307c2	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/1a1006573c9a5453d1d3538b8c919975127ad185.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/280236	東京大学大学院総合文化研究科・教養学部 Graduate School of Arts and Sciences / College of Arts and Sciences, The University of Tokyo, JAPAN				2807	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c0d9cbc6-c4ad-4617-8003-fab527b307c2/manifest					14
もち月 (内題)		もちづき	黒4141-0002.2-017								刊	半紙本。1冊合。10丁。6行	宇治文庫 地	音曲	一中節	段物集	00	00							宇治紫文斎直伝						http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/98bbc6c2-4bf9-4866-a585-28fc05f9fa26.json	98bbc6c2-4bf9-4866-a585-28fc05f9fa26	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki/document/98bbc6c2-4bf9-4866-a585-28fc05f9fa26	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/27268543ebc2c31800d07ee899a2d0650844ade0.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/280237	東京大学大学院総合文化研究科・教養学部 Graduate School of Arts and Sciences / College of Arts and Sciences, The University of Tokyo, JAPAN				2808	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/98bbc6c2-4bf9-4866-a585-28fc05f9fa26/manifest					11
沖中河恋俤 (内題)		おきなかがわこいのおもかげ	黒4141-0002.2-018								刊	半紙本。1冊合。4丁。6行	宇治文庫 地	音曲	一中節	段物集	00	00													http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/b57e1622-ca1b-4738-be75-308a20681922.json	b57e1622-ca1b-4738-be75-308a20681922	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki/document/b57e1622-ca1b-4738-be75-308a20681922	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/424ac2ea7f357a7326f403f99d5325dd85c70466.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/280238	東京大学大学院総合文化研究科・教養学部 Graduate School of Arts and Sciences / College of Arts and Sciences, The University of Tokyo, JAPAN				2809	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/b57e1622-ca1b-4738-be75-308a20681922/manifest					5
宗論 (内題)		しゅうろん	黒4141-0002.2-019							末尾に「明治十三年九月 宗七」とあり。	刊	半紙本。1冊合。7丁。6行	宇治文庫 地	音曲	一中節	段物集	00	00							三世宇治紫文斎						http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/9f837815-2a89-4cd3-8a64-8f2c149317a6.json	9f837815-2a89-4cd3-8a64-8f2c149317a6	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki/document/9f837815-2a89-4cd3-8a64-8f2c149317a6	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/81890867ae3d012336a60c83b6833e8d0e436a8b.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/280239	東京大学大学院総合文化研究科・教養学部 Graduate School of Arts and Sciences / College of Arts and Sciences, The University of Tokyo, JAPAN				2810	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/9f837815-2a89-4cd3-8a64-8f2c149317a6/manifest					8
呉羽 (内題)		くれは	黒4141-0002.2-020								刊	半紙本。1冊合。1丁。6行	宇治文庫 地	音曲	一中節	段物集	00	00													http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/fb1e5092-d42c-4a47-a9b5-46b299aca358.json	fb1e5092-d42c-4a47-a9b5-46b299aca358	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki/document/fb1e5092-d42c-4a47-a9b5-46b299aca358	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/54ad213ba89cf104a404507a076bae767e9b07d4.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/280240	東京大学大学院総合文化研究科・教養学部 Graduate School of Arts and Sciences / College of Arts and Sciences, The University of Tokyo, JAPAN				2811	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/fb1e5092-d42c-4a47-a9b5-46b299aca358/manifest					2
養老 (内題)		ようろう	黒4141-0002.2-021								刊	半紙本。1冊合。1丁。6行	宇治文庫 地	音曲	一中節	段物集	00	00													http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/aaddf50d-40c3-4071-ac81-09320eaa5c74.json	aaddf50d-40c3-4071-ac81-09320eaa5c74	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki/document/aaddf50d-40c3-4071-ac81-09320eaa5c74	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/0d45234126ef011cf7ca6044e028e1d0ae330919.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/280241	東京大学大学院総合文化研究科・教養学部 Graduate School of Arts and Sciences / College of Arts and Sciences, The University of Tokyo, JAPAN				2812	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/aaddf50d-40c3-4071-ac81-09320eaa5c74/manifest					2
誓綱島 (内題)		ちかいのあみじま	黒4141-0002.2-022								刊	半紙本。1冊合。3丁。6行	宇治文庫 地	音曲	一中節	段物集	00	00							三世宇治紫文調						http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/730ced45-4400-4bca-817b-c18a5b473bbb.json	730ced45-4400-4bca-817b-c18a5b473bbb	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki/document/730ced45-4400-4bca-817b-c18a5b473bbb	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/ae3be7172e912a274c5b8a2209dff738167526b9.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/280242	東京大学大学院総合文化研究科・教養学部 Graduate School of Arts and Sciences / College of Arts and Sciences, The University of Tokyo, JAPAN				2813	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/730ced45-4400-4bca-817b-c18a5b473bbb/manifest					4
道成寺 (内題)		どうじょうじ	黒4141-0002.2-023							末尾に「明治廿一年九月新調ス」とあり。	刊	半紙本。1冊合。9丁。6行	宇治文庫 地	音曲	一中節	段物集	00	00							宇治紫文斎述						http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/9f238db5-ab57-407a-bc79-a41d39f4376e.json	9f238db5-ab57-407a-bc79-a41d39f4376e	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki/document/9f238db5-ab57-407a-bc79-a41d39f4376e	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/6d5bdff5997795e02b885ce140f1eb2463b2faff.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/280243	東京大学大学院総合文化研究科・教養学部 Graduate School of Arts and Sciences / College of Arts and Sciences, The University of Tokyo, JAPAN				2814	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/9f238db5-ab57-407a-bc79-a41d39f4376e/manifest					10
唐船 (内題)		とうせん	黒4141-0002.2-024							末尾に「明治十五年十一月」とあり。	刊	半紙本。1冊合。9丁。5行	宇治文庫 地	音曲	一中節	段物集	00	00							??●屋紫●述/三世宇治紫文調						http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/351751c0-6e12-4b39-a3db-7b8ba33b4bd2.json	351751c0-6e12-4b39-a3db-7b8ba33b4bd2	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki/document/351751c0-6e12-4b39-a3db-7b8ba33b4bd2	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/fb06495791ef192872ea11583d2bc6cb807af61a.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/280244	東京大学大学院総合文化研究科・教養学部 Graduate School of Arts and Sciences / College of Arts and Sciences, The University of Tokyo, JAPAN				2815	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/351751c0-6e12-4b39-a3db-7b8ba33b4bd2/manifest					10
津国女夫池	つのくにめをといけ	つのくにみょうといけ	黒4142-0001	享保06	京都					絵入狂言本の透写。ただし挿絵は写されず。奥書に「原本名古屋平出氏所蔵/故平出銀次郎氏旧蔵本」とあり	写	半紙本。1冊。7丁半。12行		歌舞伎	狂言本		00	00	1721				享保						名代:都 万太夫。		http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/76f236d0-a449-4733-9ad2-46300176040d.json	76f236d0-a449-4733-9ad2-46300176040d	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki/document/76f236d0-a449-4733-9ad2-46300176040d	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/5aa0d951c817a658895b550bf4b394a6342853b4.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/280245	東京大学大学院総合文化研究科・教養学部 Graduate School of Arts and Sciences / College of Arts and Sciences, The University of Tokyo, JAPAN				2816	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/76f236d0-a449-4733-9ad2-46300176040d/manifest					1
[わん久松山]		わんきゅうまつやま	黒4142-0017							巻首を欠く。書誌カードの挿入あり。	刊	半紙本。1冊。21丁。8行		音曲	一中節		00	00													http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/08070283-7d92-4060-8b7e-206c4a640e19.json	08070283-7d92-4060-8b7e-206c4a640e19	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki/document/08070283-7d92-4060-8b7e-206c4a640e19	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/9d84fbf304a7ef4331ca8c9e7486f75578fb28ec.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/280246	東京大学大学院総合文化研究科・教養学部 Graduate School of Arts and Sciences / College of Arts and Sciences, The University of Tokyo, JAPAN				2817	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/08070283-7d92-4060-8b7e-206c4a640e19/manifest					25
行平礒馴松 (前狂言)		ゆきひらそなれのまつ	黒4142-0208-001	享和02	大坂	<小いな/半兵衛>優然染座鋪八景 (切狂言)	<こいな/はんべえ>ゆうぜんぞめざしきはっけい			見返に「初代嵐三五郎此狂言当代名残と成翌亥年五月二日行年七十二才にて於京師死去ス」と記した貼り込みあり。	刊	一枚物。袋綴	行平磯馴松	歌舞伎	番付	役割番付	04	10	1802	04・10	本清板	本清	享和	北の新地			北新地		座本:尾上 弥太郎。		http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/d5c3441a-c27d-4027-a422-3bcce1e2ad62.json	d5c3441a-c27d-4027-a422-3bcce1e2ad62	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki/document/d5c3441a-c27d-4027-a422-3bcce1e2ad62	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/56639d9743596616499307b5a3e6404bdceb9fa9.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/280247	東京大学大学院総合文化研究科・教養学部 Graduate School of Arts and Sciences / College of Arts and Sciences, The University of Tokyo, JAPAN				2818	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/d5c3441a-c27d-4027-a422-3bcce1e2ad62/manifest					2
<立わかれいなばの山の/みねにおふる>行平旧跡松 (前狂言)		<たちわかれいなばのやまの/みねにおうる>ゆきひらめいしょのまつ	黒4142-0208-002	文化13	大坂	今様須摩の写絵 (けい事)|<小いな/半兵衛>優然染座敷八景 (切狂言)	いまようすまのうつしえ|<こいな/はんべえ>ゆうぜんぞめざしきはっけい				刊	一枚物。袋綴	行平磯馴松	歌舞伎	番付	役割番付	04	05	1816	04・05	内茶屋さか吉板	内茶屋さか吉	文化	中			中		座本:沢村 璃答。		http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/370792c7-d4f2-4108-ae11-a2bb8f9e2258.json	370792c7-d4f2-4108-ae11-a2bb8f9e2258	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki/document/370792c7-d4f2-4108-ae11-a2bb8f9e2258	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/c7f948b70c39b0f8935e4b04ff5a88654ee134ba.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/280248	東京大学大学院総合文化研究科・教養学部 Graduate School of Arts and Sciences / College of Arts and Sciences, The University of Tokyo, JAPAN				2819	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/370792c7-d4f2-4108-ae11-a2bb8f9e2258/manifest					2
塩原多助経済鑑		しおばらたすけけいざいかがみ	黒4143-0001							酉年4月上演台帳の写し。袋あり。外題打付。袋、および各冊裏表紙に「本主安田」。第1冊から第10冊まで、それぞれ「第壱番目序満来」「第壱番目序切」「第一ばんめ二幕目」「第壱番目三幕目」「第壱番目四幕目」「第一番目五幕目」「第壱番目六幕目」「第壱番目七幕目」「第壱番目八幕目」「第壱番目大詰」を収録。第8冊に七幕目の役人替名を記した紙片の挿入あり。	写	半紙本。10冊。第1冊・30丁半、第2冊・7丁半、第3冊・24丁、第4冊・26丁、第5冊・36丁、第6冊・8丁、第7冊・29丁、第8冊・40丁、第9冊・43丁半、第10冊・9丁半。13行		歌舞伎	台帳		04	00		04・											http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/50b7ab8c-b37c-44e3-9781-ef0151ab82ff.json	50b7ab8c-b37c-44e3-9781-ef0151ab82ff	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki/document/50b7ab8c-b37c-44e3-9781-ef0151ab82ff	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/32174e7efd3077edaa48e0f25c454fc818e90d38.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/280249	東京大学大学院総合文化研究科・教養学部 Graduate School of Arts and Sciences / College of Arts and Sciences, The University of Tokyo, JAPAN				2820	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/50b7ab8c-b37c-44e3-9781-ef0151ab82ff/manifest					294
鼠小紋東君新形		ねずみこもんはるのしんがた	黒4143-0002	安政04	江戸	<上の巻は松の舞台の式三番/下の巻は梅の浪花の俄狂言>偐緑笑遠山 (小名題)	<じょうのまきはまつのぶたいのしきさんばん/げのまきはうめのなにわのにわかきょうげん>まねてみどりわらふとおやま			安政4年正月、市村座上演台帳の写し。袋あり。外題打付。第1冊から第7冊まで、それぞれ「序幕」「二幕目/同返し」「三幕目」「四幕目」「五幕目」「六幕目」「大切」を収録。第7冊に紙片の挿入あり。	写	半紙本。7冊。第1冊・40丁、第2冊・53丁半、第3冊・39丁、第4冊・40丁、第5冊・42丁、第6冊・34丁、第7冊・16丁。13行		歌舞伎	台帳		01	00	1857	01・			安政	市村座			市村座				http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/7985774d-27c4-4b48-bd05-5ea8687d9c2c.json	7985774d-27c4-4b48-bd05-5ea8687d9c2c	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki/document/7985774d-27c4-4b48-bd05-5ea8687d9c2c	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/c0bf70ee008dfef3680d0d034cae9771f1982675.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/280250	東京大学大学院総合文化研究科・教養学部 Graduate School of Arts and Sciences / College of Arts and Sciences, The University of Tokyo, JAPAN				2821	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/7985774d-27c4-4b48-bd05-5ea8687d9c2c/manifest					290
浮世柄比翼稲妻		うきよづかひよくのいなずま	黒4143-0008	文政06	江戸					文政6年3月、市村座上演の台帳の写し。書き題簽。第1冊冒頭に、「発端」から「第十」までの場面名を記した目録と、役人替名、および作者連名を記載。第5冊最終丁裏に「天保十三寅の年秋吉日写之」とあり。第1冊に「第一番目三建目」、第2冊に「第壱番目四建目」、第3冊に「第壱番目五建め」と「第壱番目六建目大詰」、第4冊に「第弐番目序幕」、第5冊に「第ニ番目中幕」と「第二番目大切」を収録。各冊冒頭に菊紋の印記あり。	写	半紙本。5冊。第1冊・64丁、第2冊・58丁、第3冊・63丁、第4冊・56丁、第5冊・54丁。12行		歌舞伎	台帳		03	00	1823	03・			文政	市村座			市村座				http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/a0b4e89c-654a-43f4-9cb0-19a2eff2b87a.json	a0b4e89c-654a-43f4-9cb0-19a2eff2b87a	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki/document/a0b4e89c-654a-43f4-9cb0-19a2eff2b87a	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/79d0afe965bc86e7aa79c793362b05e3927e9ebb.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/280251	東京大学大学院総合文化研究科・教養学部 Graduate School of Arts and Sciences / College of Arts and Sciences, The University of Tokyo, JAPAN				2822	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/a0b4e89c-654a-43f4-9cb0-19a2eff2b87a/manifest					311
法懸松成田利剣		けさかけまつなりたのりけん	黒4143-0009	文政06	江戸	日蓮記 (内題)|祐念記 (内題)|色彩間苅豆 (浄瑠理)	にちれんき|ゆうねんき|いろもようちょっとかりまめ			文政6年6月、森田座上演台帳の写し。外題打付。第1冊冒頭に、「第一」から「第十三」までの場面名を記した目録と、役人替名、および作者連名を記載。第1冊・第2冊に「発端」「二幕目」「三幕目」、第3冊・第4冊に「四幕目」「五幕目」、第5冊に「六幕目」、第6冊に「大詰」、第7冊に「第二番目序幕」(「色彩間苅豆」)、第8冊に「第二番目大切」を収録。各冊冒頭に「巣居」の印記あり。	写	半紙本。8冊。第1冊・27丁、第2冊・41丁、第3冊・25丁、第4冊・18丁、第5冊・48丁、第6冊・48丁、第7冊・8丁、第8冊・54丁。12行		歌舞伎	台帳		06	00	1823	06・			文政	森田座			森田座				http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/435ea87f-2b8a-4370-b423-801370f2e309.json	435ea87f-2b8a-4370-b423-801370f2e309	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki/document/435ea87f-2b8a-4370-b423-801370f2e309	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/2469c4a1a8d88ad54ce294daec379c5bda4f8cf2.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/280252	東京大学大学院総合文化研究科・教養学部 Graduate School of Arts and Sciences / College of Arts and Sciences, The University of Tokyo, JAPAN				2823	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/435ea87f-2b8a-4370-b423-801370f2e309/manifest					294
東海道四谷怪談		とうかいどうよつやかいだん	黒4143-0010	文政08	江戸					文政8年7月、中村座上演台帳の写し。外題打付。第1冊冒頭に、各場面名を記した目録と、役人替名、および作者連名を記載。第1冊・第2冊・第3冊に「第二ばん目序幕」、第4冊に「第二ばん目二幕目」、第5冊に「第二ばん目三幕目」、第6冊・第7冊に「第二ばん目四幕目」、第8冊に「第二ばん目五幕目大切」を収録。	写	半紙本。8冊。第1冊・41丁、第2冊・31丁半、第3冊・17丁、第4冊・53丁半、第5冊・16丁半、第6冊・37丁、第7冊・32丁、第8冊・29丁。12行		歌舞伎	台帳		07	00	1825	07・			文政	中村座			中村座				http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/5b8b2f68-a4ec-480d-87cd-4fb6d3e0276c.json	5b8b2f68-a4ec-480d-87cd-4fb6d3e0276c	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki/document/5b8b2f68-a4ec-480d-87cd-4fb6d3e0276c	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/de013efee0d15aae508c4dcb28e447985f3dd561.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/280253	東京大学大学院総合文化研究科・教養学部 Graduate School of Arts and Sciences / College of Arts and Sciences, The University of Tokyo, JAPAN				2824	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/5b8b2f68-a4ec-480d-87cd-4fb6d3e0276c/manifest					284
