タイトル,作成日,ID,文書種類,文書記述形式,枚数,カード目録,カテゴリ,所蔵,所属,内容,備考,登録年,エンティティ（Google Cloud Vision）,軍艦,特記事項,Transcription,iiif viewer,ID,ウェブサイトURL,アイテムURL,利用条件,サムネイル,機械可読ドキュメント,帰属,viewingDirection,viewingHint,コレクション,ソート用項目,西暦,IIIFマニフェストURI,IIIF Search API URI,アノテーション付きIIIFマニフェストURI,Link to TAPAS Project,Text with Rich Text Format,# of media
昭和三年五月二日 今岡造船協会会長殿 万国工業会議論文委員 近藤基樹・末廣恭二・平賀譲・山内不二雄,1928-05-02,10020901,平賀(代)発書翰,タイプ,1枚,〔万国工業会議関係〕等,その他資料:日記・書翰・写真・学位記など,東京大学柏図書館,,,控,2007,text|font|design|product|pattern|brand,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/a37a6872-f752-48d3-98db-1a00e3ffa3f2.json,a37a6872-f752-48d3-98db-1a00e3ffa3f2,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/a37a6872-f752-48d3-98db-1a00e3ffa3f2,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/c61b53ff510c42d91984b06ccd2fd5d9f70d064a.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/107816,"東京大学柏図書館 Kashiwa Library in The University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/a37a6872-f752-48d3-98db-1a00e3ffa3f2/manifest,,,,,1
"Esq.,President,(Chairman)Institute(Society)",,10020902,造船協会発書翰,英文タイプ,1枚,〔万国工業会議関係〕等,その他資料:日記・書翰・写真・学位記など,東京大学柏図書館,,,,2007,text|font|paper|document|brand|product,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/36d843ca-970a-41d4-b6d9-64f43d3861ed.json,36d843ca-970a-41d4-b6d9-64f43d3861ed,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/36d843ca-970a-41d4-b6d9-64f43d3861ed,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/2c299ab346117b64cb6a1ca2d0cab10498086460.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/107817,"東京大学柏図書館 Kashiwa Library in The University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/36d843ca-970a-41d4-b6d9-64f43d3861ed/manifest,,,,,1
〔宛名一覧〕,,10020903,宛名一覧,英文タイプ,1枚,〔万国工業会議関係〕等,その他資料:日記・書翰・写真・学位記など,東京大学柏図書館,,,,2007,text|font|paper|document|line|material|diagram|product|angle|paper product,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/535f2313-8d40-4844-a6de-ead0774310d2.json,535f2313-8d40-4844-a6de-ead0774310d2,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/535f2313-8d40-4844-a6de-ead0774310d2,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/c2bafa1edf05aed61cc6dc624ff21ad66c9a857b.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/107818,"東京大学柏図書館 Kashiwa Library in The University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/535f2313-8d40-4844-a6de-ead0774310d2/manifest,,,,,1
昭和三年五月二日 俵万国工業会議論文委員長殿 論文委員 近藤基樹・末廣恭二・平賀譲・山内不二雄,1928-05-02,10021001,平賀(代)発書翰,タイプ,3枚,〔万国工業会議関係〕等,その他資料:日記・書翰・写真・学位記など,東京大学柏図書館,,,,2007,text|font|design|paper|pattern|angle|product|brand|black and white|document|material,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/3c9f95ac-8695-4543-b860-3f7ab0da7e8f.json,3c9f95ac-8695-4543-b860-3f7ab0da7e8f,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/3c9f95ac-8695-4543-b860-3f7ab0da7e8f,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/da5bf43c50defbd5a8f38788d54aed13f80eca24.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/107819,"東京大学柏図書館 Kashiwa Library in The University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/3c9f95ac-8695-4543-b860-3f7ab0da7e8f/manifest,,,,,2
〔宛名一覧〕,,10021002,宛名一覧,英文タイプ,1枚,〔万国工業会議関係〕等,その他資料:日記・書翰・写真・学位記など,東京大学柏図書館,,,,2007,text|font|paper|document|black and white|brand,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/896e5cb2-f2cd-4d32-b01e-49d7db6a3eed.json,896e5cb2-f2cd-4d32-b01e-49d7db6a3eed,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/896e5cb2-f2cd-4d32-b01e-49d7db6a3eed,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/f620f7d89cf0d772afab71cd117494a85bd4bb42.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/107820,"東京大学柏図書館 Kashiwa Library in The University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/896e5cb2-f2cd-4d32-b01e-49d7db6a3eed/manifest,,,,,1
"Esq.,",,10021003,書翰,英文タイプ,1枚,〔万国工業会議関係〕等,その他資料:日記・書翰・写真・学位記など,東京大学柏図書館,,,,2007,text|font|paper|document|black and white|brand,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/c76abfe9-94a1-4be6-9f3c-63ad8c84f385.json,c76abfe9-94a1-4be6-9f3c-63ad8c84f385,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/c76abfe9-94a1-4be6-9f3c-63ad8c84f385,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/7387069cec1b095a882da15822e0e7b83bcccb2a.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/107821,"東京大学柏図書館 Kashiwa Library in The University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c76abfe9-94a1-4be6-9f3c-63ad8c84f385/manifest,,,,,1
"Esq.,President,(Chairman)Institute(Society)",,10021004,造船協会発書翰,英文タイプ,1枚,〔万国工業会議関係〕等,その他資料:日記・書翰・写真・学位記など,東京大学柏図書館,,,,2007,text|font|paper|document|product|brand,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/1ff8fbae-bdaf-42aa-a43c-f76ea5400e1d.json,1ff8fbae-bdaf-42aa-a43c-f76ea5400e1d,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/1ff8fbae-bdaf-42aa-a43c-f76ea5400e1d,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/35c1bd0023bc3ecf7e18cd3ad1be8d8a2de23037.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/107822,"東京大学柏図書館 Kashiwa Library in The University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/1ff8fbae-bdaf-42aa-a43c-f76ea5400e1d/manifest,,,,,1
〔分類表〕,,10021101,分類表,英文タイプ,1枚,〔万国工業会議関係〕等,その他資料:日記・書翰・写真・学位記など,東京大学柏図書館,,,,2007,text|font|paper|document|brand,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/80f388f6-96d1-4998-bd6c-d0cdb198c120.json,80f388f6-96d1-4998-bd6c-d0cdb198c120,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/80f388f6-96d1-4998-bd6c-d0cdb198c120,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/b3057e71fcb9b575a4b2923c23b074de19e7d36b.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/107823,"東京大学柏図書館 Kashiwa Library in The University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/80f388f6-96d1-4998-bd6c-d0cdb198c120/manifest,,,,,1
〔分類表〕,,10021102,分類表,ペン書き謄写版,1枚,〔万国工業会議関係〕等,その他資料:日記・書翰・写真・学位記など,東京大学柏図書館,,,,2007,text|font|paper|document|brand|paper product,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/35662742-5656-442d-8eef-b909be6e89e7.json,35662742-5656-442d-8eef-b909be6e89e7,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/35662742-5656-442d-8eef-b909be6e89e7,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/b3570713d774d680657be3020e692985df7f2000.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/107824,"東京大学柏図書館 Kashiwa Library in The University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/35662742-5656-442d-8eef-b909be6e89e7/manifest,,,,,1
〔分類表〕,,10021103,分類表,罫紙ペン書き,1枚,〔万国工業会議関係〕等,その他資料:日記・書翰・写真・学位記など,東京大学柏図書館,,,,2007,text|font|paper|document|material|brand|paper product,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/04f3a491-eb4c-46cd-b06b-dfbd1faeb588.json,04f3a491-eb4c-46cd-b06b-dfbd1faeb588,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/04f3a491-eb4c-46cd-b06b-dfbd1faeb588,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/900c3d614f136dd431526f09717740eb1f014299.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/107825,"東京大学柏図書館 Kashiwa Library in The University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/04f3a491-eb4c-46cd-b06b-dfbd1faeb588/manifest,,,,,1
TABLE OF PRINCIPAL HEADINGS.,,10021104,分類表,英文タイプ,6枚,〔万国工業会議関係〕等,その他資料:日記・書翰・写真・学位記など,東京大学柏図書館,,,,2007,text|font|paper|black and white|document|product|angle|brand|material|diagram,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/f5e5b12c-723c-47ea-b9ad-b538e342d213.json,f5e5b12c-723c-47ea-b9ad-b538e342d213,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/f5e5b12c-723c-47ea-b9ad-b538e342d213,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/0fad797f90357cc33555ffbac47b62575dedec69.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/107826,"東京大学柏図書館 Kashiwa Library in The University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/f5e5b12c-723c-47ea-b9ad-b538e342d213/manifest,,,,,3
〔人名一覧〕,,10021201,人名一覧,海軍罫紙鉛筆書き,2枚,〔万国工業会議関係〕等,その他資料:日記・書翰・写真・学位記など,東京大学柏図書館,,,,2007,product|font|paper|angle,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/56aa03ac-229c-447a-8044-0f12e13fee92.json,56aa03ac-229c-447a-8044-0f12e13fee92,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/56aa03ac-229c-447a-8044-0f12e13fee92,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/b94e68eec0f9a493e05ed9873e2458eff37b9cd0.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/107827,"東京大学柏図書館 Kashiwa Library in The University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/56aa03ac-229c-447a-8044-0f12e13fee92/manifest,,,,,1
昭和四年三月二十五日 万国工業会議会長 男爵 古市公威 評議員・委員各位,1929-03-25,10021301,書翰,万国工業会議用箋タイプ,1枚,〔万国工業会議関係〕等,その他資料:日記・書翰・写真・学位記など,東京大学柏図書館,,,,2007,text|font|product|paper,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/8cbecd42-ebba-4800-b75b-95738d5c96f4.json,8cbecd42-ebba-4800-b75b-95738d5c96f4,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/8cbecd42-ebba-4800-b75b-95738d5c96f4,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/af411df7690cba1951874692486f145103507297.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/107828,"東京大学柏図書館 Kashiwa Library in The University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/8cbecd42-ebba-4800-b75b-95738d5c96f4/manifest,,,,,1
〔通知書〕,1928-06-02,10021302,通知書,印刷物,1枚,〔万国工業会議関係〕等,その他資料:日記・書翰・写真・学位記など,東京大学柏図書館,,,,2007,text|font|paper|product|document|pattern,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/04862b2d-46bb-430f-b227-7f8b88e5462b.json,04862b2d-46bb-430f-b227-7f8b88e5462b,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/04862b2d-46bb-430f-b227-7f8b88e5462b,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/9205a47fd19ace6bcf2c8ec2e75820b75f34eff8.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/107829,"東京大学柏図書館 Kashiwa Library in The University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/04862b2d-46bb-430f-b227-7f8b88e5462b/manifest,,,,,1
昭和三年二月二十四日 万国工業会議庶務幹事 吉野信次  各評議員・各委員 殿,1928-02-24,10021303,通知書,ペン書き謄写版,1枚,〔万国工業会議関係〕等,その他資料:日記・書翰・写真・学位記など,東京大学柏図書館,,,,2007,text|font|paper|product|document|pattern,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/1a11d279-40c4-4960-acbf-65aa6ff25c29.json,1a11d279-40c4-4960-acbf-65aa6ff25c29,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/1a11d279-40c4-4960-acbf-65aa6ff25c29,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/0069eebf11388a6b06842544fe02ee72541c09fc.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/107830,"東京大学柏図書館 Kashiwa Library in The University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/1a11d279-40c4-4960-acbf-65aa6ff25c29/manifest,,,,,1
〔住所一覧〕,,10021401,住所一覧,海軍罫紙鉛筆書き,2枚,〔万国工業会議関係〕等,その他資料:日記・書翰・写真・学位記など,東京大学柏図書館,,,,2007,text|font|paper|document|angle|product,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/ff6069c3-a742-4830-bbde-f44d7f01bcd3.json,ff6069c3-a742-4830-bbde-f44d7f01bcd3,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/ff6069c3-a742-4830-bbde-f44d7f01bcd3,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/b718493da360f5ca22ffdd6c56fb8c3b79615d98.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/107831,"東京大学柏図書館 Kashiwa Library in The University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/ff6069c3-a742-4830-bbde-f44d7f01bcd3/manifest,,,,,1
〔人名一覧〕,,10021402,人名一覧,英文タイプ,5枚,〔万国工業会議関係〕等,その他資料:日記・書翰・写真・学位記など,東京大学柏図書館,,,,2007,text|font|paper|document|black and white|brand|product|paper product|angle|design|diagram,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/50d79ed9-b4a7-4960-b06d-110f741829d1.json,50d79ed9-b4a7-4960-b06d-110f741829d1,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/50d79ed9-b4a7-4960-b06d-110f741829d1,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/8c34ddf8e118f15953278d3c1b5f423ea9e1c9de.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/107832,"東京大学柏図書館 Kashiwa Library in The University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/50d79ed9-b4a7-4960-b06d-110f741829d1/manifest,,,,,3
〔平賀と各方面の往復書翰〕,,10021501,平賀と各方面の往復書翰,ペン書き・タイプ,13枚,〔万国工業会議関係〕等,その他資料:日記・書翰・写真・学位記など,東京大学柏図書館,,,,2007,text|font|paper|document|brand|product|design|angle|pattern|rectangle|line|material|diagram,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/ca4c7831-c8f6-4d7e-9d80-f2f61e5ce1fc.json,ca4c7831-c8f6-4d7e-9d80-f2f61e5ce1fc,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/ca4c7831-c8f6-4d7e-9d80-f2f61e5ce1fc,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/bb0820c0addaceab4135ed0cd45deadfbdc25083.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/107833,"東京大学柏図書館 Kashiwa Library in The University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/ca4c7831-c8f6-4d7e-9d80-f2f61e5ce1fc/manifest,,,,,12
原案,,10021601,平賀と各方面の往復書翰,ペン書き・タイプ,9枚,〔万国工業会議関係〕等,その他資料:日記・書翰・写真・学位記など,東京大学柏図書館,,,,2007,black and white|font|paper|text|document|drawing|product|pattern|brand|music|angle|rectangle|design,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/53673aa0-3812-460a-88bd-91e13003549b.json,53673aa0-3812-460a-88bd-91e13003549b,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/53673aa0-3812-460a-88bd-91e13003549b,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/0855f09a256a1a63d767a128fdbba428bf901ab4.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/107834,"東京大学柏図書館 Kashiwa Library in The University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/53673aa0-3812-460a-88bd-91e13003549b/manifest,,,,,8
〔規程書〕,,10021701,規程書,タイプ,1枚,〔万国工業会議関係〕等,その他資料:日記・書翰・写真・学位記など,東京大学柏図書館,,,,2007,text|font|paper|document|material|brand|product|rectangle|paper product,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/3ee570aa-30d2-4024-9e2f-502f1396ca68.json,3ee570aa-30d2-4024-9e2f-502f1396ca68,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/3ee570aa-30d2-4024-9e2f-502f1396ca68,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/1b094b1e892e319a6a442f71dd4e5468f998d5f2.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/107835,"東京大学柏図書館 Kashiwa Library in The University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/3ee570aa-30d2-4024-9e2f-502f1396ca68/manifest,,,,,1
"Esq.,",,10021702,書翰下書,便箋ペン書き,2枚,〔万国工業会議関係〕等,その他資料:日記・書翰・写真・学位記など,東京大学柏図書館,,,,2007,text|font|paper|design|black and white|document|brand,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/901b9100-320a-465c-adff-f4c104b03e97.json,901b9100-320a-465c-adff-f4c104b03e97,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/901b9100-320a-465c-adff-f4c104b03e97,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/2b1a8851d40e761a72dce027d600e6c9daf7fae5.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/107836,"東京大学柏図書館 Kashiwa Library in The University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/901b9100-320a-465c-adff-f4c104b03e97/manifest,,,,,1
